_id,Date,Line,Time,Day,Station,Incident,Min Delay,Min Gap,Bound,Vehicle,,
136,2025-01-05,510,12:01,Sunday,QUEENS QUAY AND LOWER,Collision - TTC Involved,3,6,N,8673,QUEENS QUAY AND LOWER,
137,2025-01-05,503,13:49,Sunday,QUEEN AND KINGSTON,Operations,7,17,W,4508,QUEEN AND KINGSTON,
138,2025-01-05,501,13:52,Sunday,HUMBER LOOP,Cleaning - Unsanitary,10,20,W,4579,HUMBER LOOP,
139,2025-01-05,501,14:10,Sunday,QUEENSWAY AND GLENDALE,Cleaning - Unsanitary,10,20,E,4539,QUEENSWAY AND GLENDALE,
140,2025-01-05,505,15:22,Sunday,BROADVIEW STATION,Emergency Services,11,19,None,4451,BROADVIEW STATION,
141,2025-01-05,501,17:41,Sunday,QUEEN AND EMPIRE,Cleaning - Unsanitary,10,20,E,4540,QUEEN AND EMPIRE,
142,2025-01-05,501,18:31,Sunday,QUEEN AND WOODFIELD,Cleaning - Unsanitary,10,20,E,4567,QUEEN AND WOODFIELD,
143,2025-01-05,510,20:08,Sunday,SPADINA AND FRONT,Mechanical,3,6,S,8908,SPADINA AND FRONT,
144,2025-01-05,504,20:21,Sunday,EDNA AND DUNDAS,Mechanical,10,20,S,4510,EDNA AND DUNDAS,
145,2025-01-05,507,20:52,Sunday,KIPLING LOOP,Emergency Services,10,20,W,4558,KIPLING LOOP,
146,2025-01-05,504,22:12,Sunday,SUNNYSIDE LOOP,General Delay,10,20,W,4521,SUNNYSIDE LOOP,
147,2025-01-05,505,23:33,Sunday,BROADVIEW STATION,Cleaning - Unsanitary,10,20,W,4504,BROADVIEW STATION,
148,2025-01-05,503,23:51,Sunday,KING AND VICTORIA,Diversion,11,22,E,4401,KING AND VICTORIA,
149,2025-01-05,504,23:53,Sunday,KING AND VICTORIA,Diversion,6,16,E,4513,KING AND VICTORIA,
150,2025-01-05,501,1:24,Sunday,QUEEN AND GREENWOOD,Emergency Services,46,56,E,4550,QUEEN AND GREENWOOD,
151,2025-01-05,503,1:30,Sunday,QUEEN AND GREENWOOD,Held By,25,35,E,4439,QUEEN AND GREENWOOD,
152,2025-01-06,305,2:24,Monday,BROADVIEW STATION,Emergency Services,None,None,N,4429,BROADVIEW STATION,
153,2025-01-06,506,4:36,Monday,KINGSTON ROAD LOOP,Security,None,None,E,4485,KINGSTON ROAD LOOP,
154,2025-01-06,507,5:18,Monday,RONCESVALLES YARD,Operations,12,17,W,4592,RONCESVALLES YARD,
155,2025-01-06,512,6:08,Monday,ST CLAIR AVE WEST AND,Operations,8,18,W,4469,ST CLAIR AVE WEST AND,
156,2025-01-06,512,7:23,Monday,ST CLAIR W AND VAUGHAN,General Delay,12,22,W,4634,ST CLAIR W AND VAUGHAN,
157,2025-01-06,503,7:34,Monday,BINGHAM LOOP,Emergency Services,45,55,E,4444,BINGHAM LOOP,
158,2025-01-06,505,8:35,Monday,DUNDAS AND YONGE,Collision - TTC Involved,10,20,W,4455,DUNDAS AND YONGE,
159,2025-01-06,501,8:49,Monday,RONCESVALLES YARD,Operations,15,30,W,4589,RONCESVALLES YARD,
160,2025-01-06,504,9:21,Monday,KING AND JARVIS,Diversion,15,25,W,4421,KING AND JARVIS,
161,2025-01-06,503,9:30,Monday,KING AND SHERBOURNE,Diversion,8,18,W,4414,KING AND SHERBOURNE,
162,2025-01-06,505,10:49,Monday,BRAODVIEW AND GERRARD,Cleaning - Unsanitary,10,20,W,4461,BRAODVIEW AND GERRARD,
163,2025-01-06,504,11:25,Monday,DUNDAS WEST STATION,Operations,10,20,W,4521,DUNDAS WEST STATION,
164,2025-01-06,505,12:36,Monday,DUNDAS AND MUNRO,Emergency Services,30,40,E,4628,DUNDAS AND MUNRO,
165,2025-01-06,512,13:14,Monday,ST. CLAIR STATION,Investigation,None,None,None,4504,ST. CLAIR STATION,
166,2025-01-06,509,13:38,Monday,UNION STATION,Emergency Services,16,23,None,4481,UNION STATION,
167,2025-01-06,510,13:42,Monday,DAN LECKIE AND QUEENS,Utilized Off Route,4,8,E,8822,DAN LECKIE AND QUEENS,
168,2025-01-06,511,13:50,Monday,UNION STATION,Diversion,9,18,None,None,UNION STATION,
169,2025-01-06,501,14:17,Monday,QUEEN AND SUMACH,Diversion,780,790,E,4562,QUEEN AND SUMACH,
170,2025-01-06,512,14:25,Monday,ST CLAIR AND OAKWOOD,Diversion,9,17,W,4463,ST CLAIR AND OAKWOOD,
171,2025-01-06,507,14:53,Monday,ROYAL YORK AND LAKESHO,Mechanical,10,20,N,4511,ROYAL YORK AND LAKESHO,
172,2025-01-06,505,14:57,Monday,DUNDAS AND DOVERCOURT,Diversion,5,15,W,4443,DUNDAS AND DOVERCOURT,
173,2025-01-06,512,16:00,Monday,ST CLAIR AND AVENUE,General Delay,15,23,E,4504,ST CLAIR AND AVENUE,
174,2025-01-06,512,17:55,Monday,ST CLAIR AND BATHURST,General Delay,15,23,E,4449,ST CLAIR AND BATHURST,
175,2025-01-06,512,18:05,Monday,VAUGHAN AND ST CLAIR,General Delay,11,19,W,4616,VAUGHAN AND ST CLAIR,
176,2025-01-06,504,20:12,Monday,KING AND SPADINA,Operations,28,38,W,4474,KING AND SPADINA,
177,2025-01-06,510,20:22,Monday,SPADINA AND KING,Diversion,26,30,N,8671,SPADINA AND KING,
178,2025-01-06,504,20:35,Monday,BROADVIEW AND QUEEN,Mechanical,9,18,S,4411,BROADVIEW AND QUEEN,
179,2025-01-06,504,21:10,Monday,KING AND SPADINA,General Delay,None,None,None,None,KING AND SPADINA,
180,2025-01-06,505,21:23,Monday,BROADVIEW STATION,Cleaning - Unsanitary,10,20,W,4443,BROADVIEW STATION,
181,2025-01-06,505,21:44,Monday,DUNDAS WEST STATION,Security,None,None,None,4429,DUNDAS WEST STATION,
182,2025-01-06,509,22:40,Monday,SPADINA AND FRONT,General Delay,48,54,S,4473,SPADINA AND FRONT,
183,2025-01-06,509,0:12,Monday,FRONT AND SPADINA,General Delay,None,None,N,4622,FRONT AND SPADINA,
184,2025-01-06,301,1:04,Monday,QUEEN AND SHAW,Diversion,40,50,W,4549,QUEEN AND SHAW,
185,2025-01-06,501,1:45,Monday,LANSDOWNE LOOP,Security,None,None,None,4599,LANSDOWNE LOOP,
